ObjectNumber,Metadata_Plate,Metadata_Site,Metadata_Tags,Metadata_Well,Category,AreaShape_Area,Intensity_IntegratedIntensity_OrigAGP,Granularity_10_OrigMito
1,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,27035,82.19127218588255,1.1209091771666315
2,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,19055,70.66674363380298,0.0
3,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,35726,105.3099264698103,0.0
4,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,24419,90.02409486309625,2.968827544328684
5,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,3841,10.752330854767932,0.4565070293643879
6,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,17317,55.19473598245531,0.5796851206140996
7,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,41984,131.24898214824498,0.3549546077691269
8,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,3472,24.536416047019884,0.2175978517119849
9,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,34551,93.91099444241264,0.6365135493296957
10,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,48768,157.95257590245456,0.1245080813634657
11,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,34231,95.48001850466244,1.0301694626929798
12,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,55325,161.52625364996493,0.6786694004911454
13,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,21129,56.954864035826176,0.0
14,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,52207,185.07771588256583,0.5112329056344548
15,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,32049,113.30989643442445,0.791432429408144
16,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,34711,123.68966310750692,0.0995170633967497
17,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,29024,92.37525035534054,1.17179672926739
18,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,44818,150.16328794532456,0.6072098624062132
19,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,6032,23.543465556344017,0.3125738167065583
20,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,38327,82.83257805462927,0.6673722291663418
21,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,9117,42.77090148162097,2.010218204619578
22,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,27100,89.06514137331396,0.2792460354905086
23,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,3386,15.631113435840234,0.0174610245298873
24,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,17645,53.82723763468675,0.9477513360854948
25,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,31601,108.08505461458115,1.0646742098389883
26,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,24503,100.3952555039432,1.456863947692724
27,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,58963,176.834043817129,1.2842761917293697
28,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,31193,86.29411779996008,1.7409928633802496
29,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,49450,129.68842625664547,0.8711095077878199
30,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,33262,90.40029007033444,0.594551707767989
31,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,17523,45.35051508247852,0.0
32,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,29232,78.16713220858946,1.2838082225893626
33,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,38334,98.57004678668454,0.530823751088737
34,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,51858,174.03677565651014,1.2961162145210685
35,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,57704,170.38170501892455,1.350019368813609
36,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,12393,44.05722174351104,0.0
37,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,15179,49.864195060916245,0.0089902245978017
38,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,41235,131.7818273808807,2.4791229340342693
39,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,23879,55.31116208201274,1.6035166120959328
