Well,Category,Replicate,Cytoplasm_Intensity_MeanIntensity_NFKB,Nuclei_Intensity_MeanIntensity_NFKB,Cytoplasm_AreaShape_Area_CD45,number_ASC
F05,Untreated,Exp06,1785.51,1311.78,30734.0,0
F05,Untreated,Exp06,1818.31,1084.8,12161.0,0
F05,Untreated,Exp06,2102.41,,,0
F05,Untreated,Exp06,1891.93,1991.03,5697.0,0
F05,Untreated,Exp06,1647.59,1279.63,16267.0,0
F05,Untreated,Exp06,1369.23,,,0
F05,Untreated,Exp06,1559.37,,,1
F05,Untreated,Exp06,1697.96,971.979,12525.0,0
F05,Untreated,Exp06,,1500.96,92517.0,0
F05,Untreated,Exp06,,,,0
F05,Untreated,Exp06,,1087.8,57186.0,0
F05,Untreated,Exp06,1881.63,2777.75,3558.0,0
F05,Untreated,Exp06,1789.7,1849.92,1671.0,0
F05,Untreated,Exp06,,2104.51,26094.0,0
F05,Untreated,Exp06,1682.64,1570.28,17337.0,0
F05,Untreated,Exp06,1971.66,1582.27,122938.0,0
F05,Untreated,Exp06,1524.95,1310.26,39058.0,0
F05,Untreated,Exp06,,1447.97,13153.0,1
F05,Untreated,Exp06,1624.92,1508.11,21091.0,0
F05,Untreated,Exp06,1688.12,,,0
F05,Untreated,Exp06,2106.14,1471.95,55472.0,0
F05,Untreated,Exp06,1563.96,,,0
F05,Untreated,Exp06,1420.59,1882.76,4969.0,0
F05,Untreated,Exp06,1749.41,1377.2,48168.0,0
F05,Untreated,Exp06,,,,2
F05,Untreated,Exp06,1458.52,,,0
F05,Untreated,Exp06,1517.42,1482.29,35859.0,0
F05,Untreated,Exp06,1756.2,1585.54,62281.0,0
F05,Untreated,Exp06,2423.83,,,0
F05,Untreated,Exp06,1686.34,,,0
F05,Untreated,Exp06,1274.56,,,0
F05,Untreated,Exp06,1927.74,1741.03,35463.0,0
F05,Untreated,Exp06,1828.33,2603.75,4292.0,0
F05,Untreated,Exp06,1417.72,1893.62,48812.0,0
F05,Untreated,Exp06,,,,0
F05,Untreated,Exp06,1686.24,1653.35,91074.0,1
F05,Untreated,Exp06,,2563.96,6142.0,1
F05,Untreated,Exp06,1680.73,1374.43,40750.0,0
F05,Untreated,Exp06,1735.44,,,0
F05,Untreated,Exp06,,2119.28,11963.0,0
F05,Untreated,Exp06,1592.22,,,0
F05,Untreated,Exp06,2088.59,,,0
F05,Untreated,Exp06,2231.69,2016.31,11044.0,0
F05,Untreated,Exp06,1927.4,2611.99,4202.0,0
F05,Untreated,Exp06,,2996.0,4175.0,0
F05,Untreated,Exp06,2232.31,3079.3,10126.0,0
F05,Untreated,Exp06,,1221.99,157014.0,0
F05,Untreated,Exp06,1390.82,2313.43,4322.0,2
F05,Untreated,Exp06,1448.51,1183.29,48055.0,0
F05,Untreated,Exp06,1490.33,2181.47,8448.0,0
F05,Untreated,Exp06,2158.63,1200.55,41117.0,1
F05,Untreated,Exp06,1962.85,,,0
F05,Untreated,Exp06,,,,0
F05,Untreated,Exp06,1888.35,,,0
F05,Untreated,Exp06,1617.35,1775.01,8132.0,0
F05,Untreated,Exp06,2411.85,2230.9,5861.0,0
F05,Untreated,Exp06,,2293.18,10160.0,0
F05,Untreated,Exp06,1643.22,1806.75,6050.0,0
F05,Untreated,Exp06,1908.81,1819.41,26633.0,0
F05,Untreated,Exp06,1252.08,960.199,52834.0,0
F05,Untreated,Exp06,1485.25,1383.91,58838.0,0
F05,Untreated,Exp06,1904.21,1133.18,44476.0,0
F05,Untreated,Exp06,,,,0
F05,Untreated,Exp06,1509.15,1897.24,6859.0,0
F05,Untreated,Exp06,2123.89,1908.17,25465.0,1
F05,Untreated,Exp06,1707.12,1444.69,20099.0,1
F05,Untreated,Exp06,1907.65,,,0
F05,Untreated,Exp06,1809.52,1534.27,49197.0,0
F05,Untreated,Exp06,1553.0,1244.68,76295.0,1
F05,Untreated,Exp06,1976.66,2115.45,20058.0,0
F05,Untreated,Exp06,1923.5,1705.9,49278.0,0
F05,Untreated,Exp06,,,,0
F05,Untreated,Exp06,1660.11,1512.75,7758.0,0
F05,Untreated,Exp06,2429.94,,,0
F05,Untreated,Exp06,1902.6,,,0
F05,Untreated,Exp06,2475.99,2903.6,20274.0,0
F05,Untreated,Exp06,1631.34,1048.09,72675.0,4
F05,Untreated,Exp06,1866.37,1404.72,136720.0,1
F05,Untreated,Exp06,1726.36,,,2
F05,Untreated,Exp06,1894.21,,,0
F05,Untreated,Exp06,1742.47,2378.55,22420.0,0
F05,Untreated,Exp06,1987.66,,,0
F05,Untreated,Exp06,1386.51,1317.82,77634.0,0
F05,Untreated,Exp06,1850.39,2242.79,6154.0,1
F05,Untreated,Exp06,1683.82,2116.15,14061.0,0
F05,Untreated,Exp06,1403.93,,,0
F05,Untreated,Exp06,2047.79,1823.11,10059.0,0
F05,Untreated,Exp06,1303.46,1942.94,7196.0,0
F05,Untreated,Exp06,2171.98,1344.18,145522.0,0
F05,Untreated,Exp06,1666.68,1360.21,27460.0,1
F05,Untreated,Exp06,1921.16,,,1
F05,Untreated,Exp06,,1555.64,128064.0,0
F05,Untreated,Exp06,,,,0
F05,Untreated,Exp06,1641.32,,,0
F05,Untreated,Exp06,2049.35,2358.71,5848.0,0
F05,Untreated,Exp06,,2881.31,69890.0,1
F05,Untreated,Exp06,1827.78,1917.26,5515.0,0
F05,Untreated,Exp06,2214.5,3273.55,28963.0,0
F05,Untreated,Exp06,1947.6,2571.27,85638.0,0
F05,Untreated,Exp06,1951.3,,,0
F05,Untreated,Exp06,2046.62,1376.33,22594.0,0
F05,Untreated,Exp06,1514.21,1468.87,23143.0,0
F05,Untreated,Exp06,1861.26,1157.44,109275.0,4
F05,Untreated,Exp06,1423.33,1457.12,38510.0,0
F05,Untreated,Exp06,1928.34,,,0
F05,Untreated,Exp06,1920.36,,,0
F05,Untreated,Exp06,1558.65,1435.74,78963.0,0
F05,Untreated,Exp06,1770.52,2229.95,10035.0,0
F05,Untreated,Exp06,1480.23,,,0
F05,Untreated,Exp06,1732.63,1119.85,60535.0,0
F05,Untreated,Exp06,2770.61,1659.42,7446.0,0
F05,Untreated,Exp06,1665.18,2143.85,3377.0,0
F05,Untreated,Exp06,2141.19,1746.11,27760.0,0
F05,Untreated,Exp06,1793.79,,,0
F05,Untreated,Exp06,1969.71,,,0
F05,Untreated,Exp06,,,,0
F05,Untreated,Exp06,1814.3,,,0
F05,Untreated,Exp06,1836.14,,,0
F05,Untreated,Exp06,1866.43,1723.7,3588.0,0
F05,Untreated,Exp06,1618.45,1481.7,42779.0,0
F05,Untreated,Exp06,1851.1,1769.37,27803.0,0
F05,Untreated,Exp06,1655.27,1180.57,38603.0,0
F05,Untreated,Exp06,1835.41,1161.17,27153.0,0
F05,Untreated,Exp06,1703.04,1554.69,64273.0,0
F05,Untreated,Exp06,1889.82,1685.86,26567.0,0
F05,Untreated,Exp06,1678.3,,,0
F05,Untreated,Exp06,1688.18,,,0
F05,Untreated,Exp06,2147.12,1619.32,76101.0,0
F05,Untreated,Exp06,1310.27,1852.77,12785.0,0
F05,Untreated,Exp06,1410.82,1768.25,11615.0,0
F05,Untreated,Exp06,1970.69,2069.43,2106.0,0
F05,Untreated,Exp06,3178.37,1888.23,78490.0,0
F05,Untreated,Exp06,1346.09,,,0
F05,Untreated,Exp06,2341.73,1370.39,34271.0,0
F05,Untreated,Exp06,2134.94,,,0
F05,Untreated,Exp06,2307.54,2319.83,4410.0,1
F05,Untreated,Exp06,1666.96,1484.42,78833.0,0
F05,Untreated,Exp06,1837.27,1852.14,9132.0,0
F05,Untreated,Exp06,1644.24,1428.94,123443.0,0
F05,Untreated,Exp06,3308.12,,,0
F05,Untreated,Exp06,,2554.08,2895.0,0
F05,Untreated,Exp06,1858.03,1490.38,13065.0,0
F05,Untreated,Exp06,1647.04,1036.55,143064.0,0
F05,Untreated,Exp06,2172.96,,,0
F05,Untreated,Exp06,2295.24,2998.4,42074.0,0
F05,Untreated,Exp06,1991.5,2348.62,10832.0,1
F05,Untreated,Exp06,1120.28,,,0
F05,Untreated,Exp06,1995.79,1463.34,90274.0,0
F05,Untreated,Exp06,2540.01,1668.53,35768.0,0
F05,Untreated,Exp06,1599.81,,,0
F05,Untreated,Exp06,1493.05,,,0
F05,Untreated,Exp06,1790.22,1907.3,5015.0,0
F05,Untreated,Exp06,1540.34,1731.68,3420.0,0
F05,Untreated,Exp06,2337.21,3145.25,17957.0,0
F05,Untreated,Exp06,2250.53,1426.62,34104.0,0
F05,Untreated,Exp06,1508.16,989.395,16459.0,0
F05,Untreated,Exp06,1588.4,2357.12,7678.0,0
F05,Untreated,Exp06,,,,0
F05,Untreated,Exp06,1591.0,,,0
F05,Untreated,Exp06,1603.78,1035.85,19586.0,0
F05,Untreated,Exp06,1904.93,1610.75,65448.0,0
F05,Untreated,Exp06,1712.72,2264.05,6782.0,2
F05,Untreated,Exp06,1254.72,1362.33,10170.0,0
F05,Untreated,Exp06,,2150.84,26110.0,0
F05,Untreated,Exp06,2184.96,1546.52,17078.0,0
F05,Untreated,Exp06,1733.02,1314.83,17667.0,0
F05,Untreated,Exp06,1752.73,1222.91,212749.0,0
F05,Untreated,Exp06,1863.57,,,0
F05,Untreated,Exp06,1905.89,,,0
F05,Untreated,Exp06,1505.08,,,0
F05,Untreated,Exp06,,1655.5,25199.0,0
F05,Untreated,Exp06,2514.94,1925.1,20078.0,0
F05,Untreated,Exp06,1884.17,2781.27,12717.0,0
F05,Untreated,Exp06,2275.63,1927.75,40202.0,0
F05,Untreated,Exp06,1454.31,2042.99,9689.0,0
F05,Untreated,Exp06,1748.9,,,0
F05,Untreated,Exp06,1917.2,2218.79,5936.0,0
F05,Untreated,Exp06,1760.37,1893.15,14553.0,0
F05,Untreated,Exp06,2444.89,1929.56,48315.0,0
F05,Untreated,Exp06,1804.98,1187.79,192969.0,0
F05,Untreated,Exp06,1835.38,2327.66,24180.0,0
F05,Untreated,Exp06,2071.65,1901.94,23225.0,1
F05,Untreated,Exp06,1697.19,,,1
F05,Untreated,Exp06,2011.43,1523.72,48997.0,0
F05,Untreated,Exp06,2043.46,1748.71,99602.0,1
F05,Untreated,Exp06,1969.67,1530.43,116534.0,0
F05,Untreated,Exp06,,,,0
F05,Untreated,Exp06,1661.38,1302.34,173685.0,1
F05,Untreated,Exp06,1694.72,,,0
F05,Untreated,Exp06,2113.33,,,0
F05,Untreated,Exp06,1574.87,1339.36,25015.0,0
F05,Untreated,Exp06,1586.62,1941.38,10312.0,0
F05,Untreated,Exp06,2656.57,1988.75,4892.0,0
F05,Untreated,Exp06,1881.12,,,0
F05,Untreated,Exp06,,514.609,6071.0,0
F05,Untreated,Exp06,2315.98,2404.6,8088.0,0
F05,Untreated,Exp06,,2569.82,27910.0,0
F05,Untreated,Exp06,,2402.66,19738.0,0
F05,Untreated,Exp06,1889.05,1487.39,21397.0,0
F05,Untreated,Exp06,1997.23,2426.1,25288.0,0
F05,Untreated,Exp06,,2226.82,20051.0,0
F05,Untreated,Exp06,2141.42,2318.17,3126.0,0
F05,Untreated,Exp06,1980.07,2576.0,10239.0,0
F05,Untreated,Exp06,1601.27,1838.27,2575.0,0
F05,Untreated,Exp06,1656.13,,,0
F05,Untreated,Exp06,,580.226,11611.0,0
F05,Untreated,Exp06,2176.01,2200.77,2522.0,0
F05,Untreated,Exp06,880.019,684.757,5754.0,0
F05,Untreated,Exp06,1921.54,1572.62,80811.0,0
F05,Untreated,Exp06,1874.21,1603.12,37015.0,1
F05,Untreated,Exp06,1900.15,,,0
F05,Untreated,Exp06,1137.62,,,1
F05,Untreated,Exp06,1955.47,1236.55,185475.0,0
F05,Untreated,Exp06,1807.17,1213.42,32414.0,0
F05,Untreated,Exp06,,1207.8,143282.0,0
F05,Untreated,Exp06,1308.19,1966.82,7663.0,0
F05,Untreated,Exp06,2210.58,1054.87,14736.0,0
F05,Untreated,Exp06,1445.41,1289.1,24829.0,1
F05,Untreated,Exp06,1663.82,,,1
F05,Untreated,Exp06,1869.15,2239.39,3228.0,1
F05,Untreated,Exp06,1836.26,1464.3,24432.0,0
F05,Untreated,Exp06,1262.55,,,0
F05,Untreated,Exp06,,,,0
F05,Untreated,Exp06,,,,0
F05,Untreated,Exp06,2245.96,1601.53,70904.0,0
F05,Untreated,Exp06,2495.83,2008.48,80181.0,0
F05,Untreated,Exp06,1718.41,,,0
F05,Untreated,Exp06,1633.77,1391.56,5110.0,0
F05,Untreated,Exp06,1538.14,,,1
F05,Untreated,Exp06,1574.01,1059.0,48856.0,0
F05,Untreated,Exp06,,1240.03,60331.0,0
F05,Untreated,Exp06,1329.29,1030.8,28297.0,0
F05,Untreated,Exp06,1664.51,1085.25,23552.0,0
F05,Untreated,Exp06,2300.57,1661.84,6822.0,0
F05,Untreated,Exp06,1848.08,1491.68,4782.0,0
F05,Untreated,Exp06,2832.98,3280.25,17158.0,0
F05,Untreated,Exp06,1700.95,,,0
F05,Untreated,Exp06,1603.4,1103.3,44337.0,1
F05,Untreated,Exp06,1717.02,1390.87,39514.0,2
