,Treatment,membership,percentage
0,LPS/Nigericin,-1,36.23877443211833
1,LPS/Nigericin,1,5.335446381405177
2,LPS/Nigericin,10,7.765451664025356
3,LPS/Nigericin,11,4.437400950871632
4,LPS/Nigericin,12,1.0036978341257263
5,LPS/Nigericin,13,1.2150026413100898
6,LPS/Nigericin,14,0.6339144215530903
7,LPS/Nigericin,2,4.807184363444268
8,LPS/Nigericin,3,5.863708399366086
9,LPS/Nigericin,4,10.45958795562599
10,LPS/Nigericin,5,10.987849973586899
11,LPS/Nigericin,6,1.0565240359218173
12,LPS/Nigericin,7,5.071315372424722
13,LPS/Nigericin,8,3.5921817221341787
14,LPS/Nigericin,9,1.531959852086635
15,LPS/Unactivated,-1,38.279301745635905
16,LPS/Unactivated,1,0.6234413965087282
17,LPS/Unactivated,10,2.28595178719867
18,LPS/Unactivated,11,5.320033250207814
19,LPS/Unactivated,12,11.637572734829593
20,LPS/Unactivated,13,9.68412302576891
21,LPS/Unactivated,14,7.024106400665005
22,LPS/Unactivated,2,0.3325020781379884
23,LPS/Unactivated,3,2.660016625103907
24,LPS/Unactivated,4,0.0831255195344971
25,LPS/Unactivated,5,0.6650041562759768
26,LPS/Unactivated,6,2.3275145469659186
27,LPS/Unactivated,7,5.652535328345802
28,LPS/Unactivated,8,3.8237738985868663
29,LPS/Unactivated,9,9.600997506234414
30,Unprimed/Nigericin,-1,36.54794520547945
31,Unprimed/Nigericin,1,4.383561643835616
32,Unprimed/Nigericin,10,12.10958904109589
33,Unprimed/Nigericin,11,4.328767123287671
34,Unprimed/Nigericin,12,1.9178082191780823
35,Unprimed/Nigericin,13,1.4246575342465753
36,Unprimed/Nigericin,14,0.7671232876712328
37,Unprimed/Nigericin,2,3.616438356164384
38,Unprimed/Nigericin,3,7.890410958904109
39,Unprimed/Nigericin,4,4.10958904109589
40,Unprimed/Nigericin,5,6.465753424657534
41,Unprimed/Nigericin,6,1.4246575342465753
42,Unprimed/Nigericin,7,6.301369863013699
43,Unprimed/Nigericin,8,5.424657534246576
44,Unprimed/Nigericin,9,3.287671232876712
45,Unprimed/Unactivated,-1,37.336448598130836
46,Unprimed/Unactivated,1,0.9813084112149533
47,Unprimed/Unactivated,10,2.102803738317757
48,Unprimed/Unactivated,11,3.177570093457944
49,Unprimed/Unactivated,12,9.719626168224298
50,Unprimed/Unactivated,13,9.439252336448597
51,Unprimed/Unactivated,14,3.3177570093457946
52,Unprimed/Unactivated,2,0.9813084112149533
53,Unprimed/Unactivated,3,3.878504672897196
54,Unprimed/Unactivated,4,0.14018691588785046
55,Unprimed/Unactivated,5,1.6822429906542056
56,Unprimed/Unactivated,6,6.214953271028038
57,Unprimed/Unactivated,7,5.934579439252336
58,Unprimed/Unactivated,8,6.02803738317757
59,Unprimed/Unactivated,9,9.065420560747665
