,Treatment,membership,percentage
0,LPS/Nigericin,-1,41.21715076071922
1,LPS/Nigericin,1,3.18118948824343
2,LPS/Nigericin,10,1.9363762102351314
3,LPS/Nigericin,11,2.0746887966804977
4,LPS/Nigericin,12,2.8584601198709083
5,LPS/Nigericin,13,3.0889810972798526
6,LPS/Nigericin,14,2.0746887966804977
7,LPS/Nigericin,15,0.8298755186721992
8,LPS/Nigericin,16,3.872752420470263
9,LPS/Nigericin,17,0.9681881051175657
10,LPS/Nigericin,18,1.3831258644536653
11,LPS/Nigericin,19,0.13831258644536654
12,LPS/Nigericin,2,1.19870908252651
13,LPS/Nigericin,20,2.7662517289073305
14,LPS/Nigericin,21,0.0
15,LPS/Nigericin,22,8.483171968649147
16,LPS/Nigericin,23,0.46104195481788846
17,LPS/Nigericin,24,0.7837713231904103
18,LPS/Nigericin,25,6.039649608114338
19,LPS/Nigericin,3,3.872752420470263
20,LPS/Nigericin,4,4.37989857076994
21,LPS/Nigericin,5,1.0142923005993545
22,LPS/Nigericin,6,0.3688335638543107
23,LPS/Nigericin,7,1.1526048870447212
24,LPS/Nigericin,8,4.195481788842784
25,LPS/Nigericin,9,1.6597510373443984
26,LPS/Unactivated,-1,47.1762048192771
27,LPS/Unactivated,1,7.454819277108434
28,LPS/Unactivated,10,3.38855421686747
29,LPS/Unactivated,11,6.099397590361446
30,LPS/Unactivated,12,2.4096385542168677
31,LPS/Unactivated,13,3.5391566265060246
32,LPS/Unactivated,14,1.2048192771084338
33,LPS/Unactivated,15,1.995481927710843
34,LPS/Unactivated,16,0.48945783132530124
35,LPS/Unactivated,17,0.15060240963855423
36,LPS/Unactivated,18,2.108433734939759
37,LPS/Unactivated,19,0.15060240963855423
38,LPS/Unactivated,2,0.7530120481927711
39,LPS/Unactivated,20,0.11295180722891565
40,LPS/Unactivated,21,0.07530120481927711
41,LPS/Unactivated,22,1.4683734939759037
42,LPS/Unactivated,23,0.30120481927710846
43,LPS/Unactivated,24,0.41415662650602414
44,LPS/Unactivated,25,3.0120481927710845
45,LPS/Unactivated,3,0.7906626506024096
46,LPS/Unactivated,4,0.8659638554216867
47,LPS/Unactivated,5,1.8825301204819278
48,LPS/Unactivated,6,6.513554216867471
49,LPS/Unactivated,7,2.823795180722892
50,LPS/Unactivated,8,1.4683734939759037
51,LPS/Unactivated,9,3.3509036144578315
52,Unprimed/Nigericin,-1,43.988269794721404
53,Unprimed/Nigericin,1,7.859237536656892
54,Unprimed/Nigericin,10,1.466275659824047
55,Unprimed/Nigericin,11,3.2844574780058653
56,Unprimed/Nigericin,12,2.8152492668621703
57,Unprimed/Nigericin,13,2.404692082111437
58,Unprimed/Nigericin,14,3.1085043988269794
59,Unprimed/Nigericin,15,0.5865102639296188
60,Unprimed/Nigericin,16,1.7595307917888565
61,Unprimed/Nigericin,17,0.17595307917888564
62,Unprimed/Nigericin,18,0.8211143695014663
63,Unprimed/Nigericin,19,0.17595307917888564
64,Unprimed/Nigericin,2,1.2903225806451613
65,Unprimed/Nigericin,20,0.997067448680352
66,Unprimed/Nigericin,21,0.05865102639296188
67,Unprimed/Nigericin,22,4.69208211143695
68,Unprimed/Nigericin,23,0.8211143695014663
69,Unprimed/Nigericin,24,1.7008797653958945
70,Unprimed/Nigericin,25,5.865102639296188
71,Unprimed/Nigericin,3,1.8181818181818181
72,Unprimed/Nigericin,4,2.5219941348973607
73,Unprimed/Nigericin,5,0.5865102639296188
74,Unprimed/Nigericin,6,1.0557184750733137
75,Unprimed/Nigericin,7,0.8797653958944283
76,Unprimed/Nigericin,8,7.565982404692082
77,Unprimed/Nigericin,9,1.7008797653958945
78,Unprimed/Unactivated,-1,47.847785402370555
79,Unprimed/Unactivated,1,8.359326263256396
80,Unprimed/Unactivated,10,3.680598877105427
81,Unprimed/Unactivated,11,4.61634435433562
82,Unprimed/Unactivated,12,3.4310667498440424
83,Unprimed/Unactivated,13,3.5558328134747343
84,Unprimed/Unactivated,14,1.4971927635683093
85,Unprimed/Unactivated,15,1.9962570180910792
86,Unprimed/Unactivated,16,0.43668122270742354
87,Unprimed/Unactivated,17,0.18714909544603867
88,Unprimed/Unactivated,18,3.3063006862133504
89,Unprimed/Unactivated,19,0.06238303181534623
90,Unprimed/Unactivated,2,0.4990642545227698
91,Unprimed/Unactivated,20,0.2495321272613849
92,Unprimed/Unactivated,21,0.37429819089207733
93,Unprimed/Unactivated,22,1.372426699937617
94,Unprimed/Unactivated,23,0.37429819089207733
95,Unprimed/Unactivated,24,0.3119151590767312
96,Unprimed/Unactivated,25,2.9320024953212727
97,Unprimed/Unactivated,3,0.6862133499688085
98,Unprimed/Unactivated,4,0.6862133499688085
99,Unprimed/Unactivated,5,2.1210230817217717
100,Unprimed/Unactivated,6,2.9320024953212727
101,Unprimed/Unactivated,7,2.3705552089831565
102,Unprimed/Unactivated,8,1.372426699937617
103,Unprimed/Unactivated,9,4.741110417966313
