,Treatment,membership,percentage
0,LPS/Nigericin,-1,12.079299216228677
1,LPS/Nigericin,1,22.867680958967266
2,LPS/Nigericin,2,22.7293683725219
3,LPS/Nigericin,3,9.912402028584602
4,LPS/Nigericin,4,32.411249423697555
5,LPS/Unactivated,-1,12.53765060240964
6,LPS/Unactivated,1,27.786144578313255
7,LPS/Unactivated,2,39.984939759036145
8,LPS/Unactivated,3,5.158132530120482
9,LPS/Unactivated,4,14.533132530120483
10,Unprimed/Nigericin,-1,11.20234604105572
11,Unprimed/Nigericin,1,29.09090909090909
12,Unprimed/Nigericin,2,23.988269794721408
13,Unprimed/Nigericin,3,10.733137829912023
14,Unprimed/Nigericin,4,24.98533724340176
15,Unprimed/Unactivated,-1,12.476606363069246
16,Unprimed/Unactivated,1,26.450405489706803
17,Unprimed/Unactivated,2,38.615096693699314
18,Unprimed/Unactivated,3,7.049282595134124
19,Unprimed/Unactivated,4,15.408608858390519
