,Treatment,membership,percentage
0,LPS/Nigericin,-1,41.72447968285431
1,LPS/Nigericin,1,0.29732408325074333
2,LPS/Nigericin,10,0.4955401387512388
3,LPS/Nigericin,11,3.914767096134787
4,LPS/Nigericin,12,5.698711595639247
5,LPS/Nigericin,13,0.8424182358771061
6,LPS/Nigericin,14,0.7433102081268582
7,LPS/Nigericin,15,7.730426164519326
8,LPS/Nigericin,16,1.2388503468780971
9,LPS/Nigericin,17,4.063429137760158
10,LPS/Nigericin,18,2.8741328047571852
11,LPS/Nigericin,19,0.7928642220019821
12,LPS/Nigericin,2,0.8424182358771061
13,LPS/Nigericin,20,8.870168483647175
14,LPS/Nigericin,21,0.8424182358771061
15,LPS/Nigericin,22,2.8245787908820614
16,LPS/Nigericin,23,2.527254707631318
17,LPS/Nigericin,24,3.617443012884044
18,LPS/Nigericin,25,4.4598612487611495
19,LPS/Nigericin,3,0.14866204162537167
20,LPS/Nigericin,4,0.6937561942517344
21,LPS/Nigericin,5,0.5946481665014867
22,LPS/Nigericin,6,0.6937561942517344
23,LPS/Nigericin,7,1.3875123885034688
24,LPS/Nigericin,8,1.1397423191278493
25,LPS/Nigericin,9,0.9415262636273538
26,LPS/Unactivated,-1,56.27425614489003
27,LPS/Unactivated,1,2.716688227684347
28,LPS/Unactivated,10,1.9836136265631736
29,LPS/Unactivated,11,1.466149202242346
30,LPS/Unactivated,12,0.38809831824062097
31,LPS/Unactivated,13,0.646830530401035
32,LPS/Unactivated,14,1.29366106080207
33,LPS/Unactivated,15,1.6817593790426906
34,LPS/Unactivated,16,0.0
35,LPS/Unactivated,17,0.4743423889607589
36,LPS/Unactivated,18,9.141871496334627
37,LPS/Unactivated,19,0.38809831824062097
38,LPS/Unactivated,2,3.3203967227253126
39,LPS/Unactivated,20,0.086244070720138
40,LPS/Unactivated,21,0.086244070720138
41,LPS/Unactivated,22,0.0
42,LPS/Unactivated,23,2.1561017680034498
43,LPS/Unactivated,24,0.517464424320828
44,LPS/Unactivated,25,0.517464424320828
45,LPS/Unactivated,3,2.457956015523933
46,LPS/Unactivated,4,1.7248814144027595
47,LPS/Unactivated,5,4.3553255713669685
48,LPS/Unactivated,6,2.457956015523933
49,LPS/Unactivated,7,1.423027166882277
50,LPS/Unactivated,8,3.4928848641655885
51,LPS/Unactivated,9,0.9486847779215178
52,Unprimed/Nigericin,-1,46.34748272458045
53,Unprimed/Nigericin,1,0.5923000987166831
54,Unprimed/Nigericin,10,0.5429417571569595
55,Unprimed/Nigericin,11,3.1095755182625866
56,Unprimed/Nigericin,12,2.7640671273445214
57,Unprimed/Nigericin,13,2.7147087857847976
58,Unprimed/Nigericin,14,1.1846001974333662
59,Unprimed/Nigericin,15,7.7986179664363275
60,Unprimed/Nigericin,16,1.5794669299111548
61,Unprimed/Nigericin,17,2.4679170779861797
62,Unprimed/Nigericin,18,2.7147087857847976
63,Unprimed/Nigericin,19,1.7275419545903257
64,Unprimed/Nigericin,2,0.9871668311944718
65,Unprimed/Nigericin,20,2.566633761105627
66,Unprimed/Nigericin,21,1.5301085883514314
67,Unprimed/Nigericin,22,0.839091806515301
68,Unprimed/Nigericin,23,5.133267522211254
69,Unprimed/Nigericin,24,2.813425468904245
70,Unprimed/Nigericin,25,5.330700888450148
71,Unprimed/Nigericin,3,0.14807502467917077
72,Unprimed/Nigericin,4,0.6416584402764067
73,Unprimed/Nigericin,5,0.24679170779861795
74,Unprimed/Nigericin,6,1.4313919052319843
75,Unprimed/Nigericin,7,2.566633761105627
76,Unprimed/Nigericin,8,0.6910167818361304
77,Unprimed/Nigericin,9,1.5301085883514314
78,Unprimed/Unactivated,-1,51.26091173617847
79,Unprimed/Unactivated,1,3.5402521823472357
80,Unprimed/Unactivated,10,4.364694471387003
81,Unprimed/Unactivated,11,0.8729388942774006
82,Unprimed/Unactivated,12,0.09699321047526674
83,Unprimed/Unactivated,13,0.38797284190106696
84,Unprimed/Unactivated,14,2.2308438409311346
85,Unprimed/Unactivated,15,3.1522793404461686
86,Unprimed/Unactivated,16,0.04849660523763337
87,Unprimed/Unactivated,17,1.1639185257032008
88,Unprimed/Unactivated,18,9.65082444228904
89,Unprimed/Unactivated,19,2.2308438409311346
90,Unprimed/Unactivated,2,0.9699321047526674
91,Unprimed/Unactivated,20,0.0
92,Unprimed/Unactivated,21,0.1454898157129001
93,Unprimed/Unactivated,22,0.04849660523763337
94,Unprimed/Unactivated,23,2.909796314258002
95,Unprimed/Unactivated,24,0.5819592628516004
96,Unprimed/Unactivated,25,0.921435499515034
97,Unprimed/Unactivated,3,2.5703200775945687
98,Unprimed/Unactivated,4,1.3579049466537343
99,Unprimed/Unactivated,5,1.939864209505335
100,Unprimed/Unactivated,6,1.7458777885548011
101,Unprimed/Unactivated,7,4.60717749757517
102,Unprimed/Unactivated,8,2.8612997090203685
103,Unprimed/Unactivated,9,0.3394762366634336
