,Treatment,membership,percentage
0,LPS/Nigericin,-1,51.67485484591335
1,LPS/Nigericin,1,0.13398838767306834
2,LPS/Nigericin,10,4.510942384993301
3,LPS/Nigericin,11,1.5185350602947745
4,LPS/Nigericin,12,5.404198302813756
5,LPS/Nigericin,13,0.5359535506922734
6,LPS/Nigericin,14,4.644930772666369
7,LPS/Nigericin,15,1.0719071013845467
8,LPS/Nigericin,16,4.376953997320232
9,LPS/Nigericin,17,0.2679767753461367
10,LPS/Nigericin,18,1.9651630192050022
11,LPS/Nigericin,19,0.40196516301920504
12,LPS/Nigericin,2,0.8932559178204555
13,LPS/Nigericin,20,0.40196516301920504
14,LPS/Nigericin,21,1.0272443054935239
15,LPS/Nigericin,22,1.2952210808396605
16,LPS/Nigericin,23,0.6252791424743189
17,LPS/Nigericin,24,0.7592675301473872
18,LPS/Nigericin,25,2.0098258150960246
19,LPS/Nigericin,3,1.3845466726217062
20,LPS/Nigericin,4,2.1438142027690934
21,LPS/Nigericin,5,0.9379187137114784
22,LPS/Nigericin,6,3.4836980794997765
23,LPS/Nigericin,7,4.376953997320232
24,LPS/Nigericin,8,0.8932559178204555
25,LPS/Nigericin,9,3.260384100044663
26,LPS/Unactivated,-1,58.58505564387917
27,LPS/Unactivated,1,0.0
28,LPS/Unactivated,10,2.305246422893482
29,LPS/Unactivated,11,0.9538950715421303
30,LPS/Unactivated,12,0.3179650238473768
31,LPS/Unactivated,13,0.7154213036565978
32,LPS/Unactivated,14,0.7551669316375199
33,LPS/Unactivated,15,0.8744038155802861
34,LPS/Unactivated,16,0.8744038155802861
35,LPS/Unactivated,17,0.11923688394276628
36,LPS/Unactivated,18,0.7949125596184419
37,LPS/Unactivated,19,5.047694753577106
38,LPS/Unactivated,2,0.43720190779014306
39,LPS/Unactivated,20,5.365659777424484
40,LPS/Unactivated,21,4.411764705882353
41,LPS/Unactivated,22,6.120826709062003
42,LPS/Unactivated,23,2.424483306836248
43,LPS/Unactivated,24,0.7949125596184419
44,LPS/Unactivated,25,0.27821939586645467
45,LPS/Unactivated,3,1.3513513513513513
46,LPS/Unactivated,4,0.0397456279809221
47,LPS/Unactivated,5,3.9348171701112875
48,LPS/Unactivated,6,0.0397456279809221
49,LPS/Unactivated,7,0.8744038155802861
50,LPS/Unactivated,8,1.5898251192368837
51,LPS/Unactivated,9,0.9936406995230525
52,Unprimed/Nigericin,-1,55.198237885462554
53,Unprimed/Nigericin,1,0.0
54,Unprimed/Nigericin,10,4.096916299559472
55,Unprimed/Nigericin,11,0.9251101321585903
56,Unprimed/Nigericin,12,2.246696035242291
57,Unprimed/Nigericin,13,1.8061674008810573
58,Unprimed/Nigericin,14,2.0704845814977975
59,Unprimed/Nigericin,15,0.7048458149779736
60,Unprimed/Nigericin,16,7.136563876651983
61,Unprimed/Nigericin,17,0.1762114537444934
62,Unprimed/Nigericin,18,1.277533039647577
63,Unprimed/Nigericin,19,1.1013215859030838
64,Unprimed/Nigericin,2,0.8370044052863436
65,Unprimed/Nigericin,20,1.1894273127753305
66,Unprimed/Nigericin,21,1.0572687224669604
67,Unprimed/Nigericin,22,2.158590308370044
68,Unprimed/Nigericin,23,0.9251101321585903
69,Unprimed/Nigericin,24,0.9691629955947136
70,Unprimed/Nigericin,25,0.7929515418502203
71,Unprimed/Nigericin,3,1.277533039647577
72,Unprimed/Nigericin,4,0.6607929515418502
73,Unprimed/Nigericin,5,1.0572687224669604
74,Unprimed/Nigericin,6,1.3215859030837005
75,Unprimed/Nigericin,7,5.462555066079295
76,Unprimed/Nigericin,8,1.277533039647577
77,Unprimed/Nigericin,9,4.273127753303965
78,Unprimed/Unactivated,-1,57.13062098501071
79,Unprimed/Unactivated,1,0.0
80,Unprimed/Unactivated,10,1.9700214132762313
81,Unprimed/Unactivated,11,1.070663811563169
82,Unprimed/Unactivated,12,0.4282655246252677
83,Unprimed/Unactivated,13,0.47109207708779444
84,Unprimed/Unactivated,14,0.3426124197002141
85,Unprimed/Unactivated,15,1.3276231263383298
86,Unprimed/Unactivated,16,0.29978586723768735
87,Unprimed/Unactivated,17,0.1284796573875803
88,Unprimed/Unactivated,18,0.8993576017130621
89,Unprimed/Unactivated,19,2.6124197002141325
90,Unprimed/Unactivated,2,0.29978586723768735
91,Unprimed/Unactivated,20,6.895074946466809
92,Unprimed/Unactivated,21,5.524625267665953
93,Unprimed/Unactivated,22,7.066381156316917
94,Unprimed/Unactivated,23,3.468950749464668
95,Unprimed/Unactivated,24,0.9850107066381156
96,Unprimed/Unactivated,25,0.21413276231263384
97,Unprimed/Unactivated,3,1.284796573875803
98,Unprimed/Unactivated,4,0.17130620985010706
99,Unprimed/Unactivated,5,2.012847965738758
100,Unprimed/Unactivated,6,0.2569593147751606
101,Unprimed/Unactivated,7,2.269807280513919
102,Unprimed/Unactivated,8,2.0556745182012848
103,Unprimed/Unactivated,9,0.8137044967880086
