Classifier,Profile,F1 Score
linear SVM,pca,0.5027099124751615
linear SVM,clustering_4,0.5119295601419013
linear SVM,clustering_5,0.48891223718809923
linear SVM,clustering_6,0.45714155290936415
linear SVM,clustering_7,0.5454312816003487
linear SVM,clustering_8,0.49564328378983546
linear SVM,clustering_9,0.47380706211351376
linear SVM,clustering_10,0.4811468596762714
linear SVM,clustering_11,0.47703638273491206
linear SVM,clustering_12,0.47080026197039376
linear SVM,clustering_13,0.5016524128808612
linear SVM,clustering_14,0.49931483507921093
linear SVM,clustering_15,0.4534273245960552
linear SVM,clustering_16,0.5116837787303473
linear SVM,clustering_17,0.4791887125220458
linear SVM,clustering_18,0.5493533481768776
linear SVM,clustering_19,0.5594463203734854
linear SVM,clustering_20,0.5065949342265131
linear SVM,clustering_21,0.5172866950829441
linear SVM,clustering_22,0.4760310326282721
linear SVM,clustering_23,0.4951805707288163
linear SVM,clustering_24,0.5228255985093292
linear SVM,clustering_25,0.47765719342950463
Nearest Neighbors,pca,0.5524644511304526
Nearest Neighbors,clustering_4,0.5538854340247529
Nearest Neighbors,clustering_5,0.525801630844016
Nearest Neighbors,clustering_6,0.46925054112554115
Nearest Neighbors,clustering_7,0.5466315919489294
Nearest Neighbors,clustering_8,0.4881684919610616
Nearest Neighbors,clustering_9,0.5007562766753944
Nearest Neighbors,clustering_10,0.4915097633002952
Nearest Neighbors,clustering_11,0.531194682510472
Nearest Neighbors,clustering_12,0.5720336168667151
Nearest Neighbors,clustering_13,0.4804223626772646
Nearest Neighbors,clustering_14,0.5708489449324914
Nearest Neighbors,clustering_15,0.5386394750117834
Nearest Neighbors,clustering_16,0.5350169984096569
Nearest Neighbors,clustering_17,0.4898594854241643
Nearest Neighbors,clustering_18,0.4918644723615933
Nearest Neighbors,clustering_19,0.4772857074581212
Nearest Neighbors,clustering_20,0.4656374894982062
Nearest Neighbors,clustering_21,0.4588121887690853
Nearest Neighbors,clustering_22,0.45713645673323083
Nearest Neighbors,clustering_23,0.49883390494911106
Nearest Neighbors,clustering_24,0.5112398960115679
Nearest Neighbors,clustering_25,0.48084956231306214
RBF SVM,pca,0.43733395718935214
RBF SVM,clustering_4,0.5610500610500609
RBF SVM,clustering_5,0.49066321425876946
RBF SVM,clustering_6,0.4467472342472343
RBF SVM,clustering_7,0.4848454056429284
RBF SVM,clustering_8,0.5145819866408102
RBF SVM,clustering_9,0.49740784858194725
RBF SVM,clustering_10,0.4918073019116662
RBF SVM,clustering_11,0.4652468622148256
RBF SVM,clustering_12,0.5162085425208311
RBF SVM,clustering_13,0.5301216527725149
RBF SVM,clustering_14,0.5477063486671685
RBF SVM,clustering_15,0.5526318471762258
RBF SVM,clustering_16,0.51368425635667
RBF SVM,clustering_17,0.4947716513505987
RBF SVM,clustering_18,0.6165385015978267
RBF SVM,clustering_19,0.5486888090780079
RBF SVM,clustering_20,0.5750898495009992
RBF SVM,clustering_21,0.5263752911806909
RBF SVM,clustering_22,0.5546507776899933
RBF SVM,clustering_23,0.5260104795063515
RBF SVM,clustering_24,0.5769435124054689
RBF SVM,clustering_25,0.5703095256547942
LDA,pca,0.5008782410189966
LDA,clustering_4,0.48038558878342164
LDA,clustering_5,0.4002312502312502
LDA,clustering_6,0.3648826186374636
LDA,clustering_7,0.481228341138827
LDA,clustering_8,0.4133277914323208
LDA,clustering_9,0.4162709639524156
LDA,clustering_10,0.5017674016596431
LDA,clustering_11,0.5019369516794739
LDA,clustering_12,0.4752423227593006
LDA,clustering_13,0.483372230204324
LDA,clustering_14,0.4871336996336996
LDA,clustering_15,0.4806335233966812
LDA,clustering_16,0.5310292277006382
LDA,clustering_17,0.5320804590289885
LDA,clustering_18,0.5204413810296163
LDA,clustering_19,0.5619368219583737
LDA,clustering_20,0.5478399555038143
LDA,clustering_21,0.5294933245306743
LDA,clustering_22,0.4834436476771559
LDA,clustering_23,0.48359069339548283
LDA,clustering_24,0.5455680636213531
LDA,clustering_25,0.5617393096045847
Naive Bayes,pca,0.4914794276599684
Naive Bayes,clustering_4,0.5110667637233103
Naive Bayes,clustering_5,0.45671687572984904
Naive Bayes,clustering_6,0.4846367804321086
Naive Bayes,clustering_7,0.5559397546897547
Naive Bayes,clustering_8,0.42483201983201985
Naive Bayes,clustering_9,0.48786768871115743
Naive Bayes,clustering_10,0.4610896526844803
Naive Bayes,clustering_11,0.41900947460719756
Naive Bayes,clustering_12,0.4826730675319539
Naive Bayes,clustering_13,0.518581460198608
Naive Bayes,clustering_14,0.5214276783242301
Naive Bayes,clustering_15,0.5532505613581464
Naive Bayes,clustering_16,0.5210379229664576
Naive Bayes,clustering_17,0.48542099317203635
Naive Bayes,clustering_18,0.3813255155360418
Naive Bayes,clustering_19,0.5088252463910359
Naive Bayes,clustering_20,0.5460931789298663
Naive Bayes,clustering_21,0.45112733898812
Naive Bayes,clustering_22,0.5046186146475878
Naive Bayes,clustering_23,0.46632272147030013
Naive Bayes,clustering_24,0.44267855952638563
Naive Bayes,clustering_25,0.44024059735023197
