Classifier,Profile,F1 Score
linear SVM,pca,0.5027099124751615
linear SVM,clustering_leiden_0.10,0.34354838709677415
linear SVM,clustering_leiden_0.36,0.3980332152116302
linear SVM,clustering_leiden_0.62,0.49919697748645114
linear SVM,clustering_leiden_0.87,0.4990596148490885
linear SVM,clustering_leiden_1.13,0.509883658167411
linear SVM,clustering_leiden_1.39,0.5386274230953865
linear SVM,clustering_leiden_1.65,0.5725036788594581
linear SVM,clustering_leiden_1.91,0.5469383302716636
linear SVM,clustering_leiden_2.16,0.5338044184535412
linear SVM,clustering_leiden_2.42,0.5437314094514906
linear SVM,clustering_leiden_2.68,0.5813894376977541
linear SVM,clustering_leiden_2.94,0.5230830454514666
linear SVM,clustering_leiden_3.19,0.5508625941959275
linear SVM,clustering_leiden_3.45,0.5434572494181209
linear SVM,clustering_leiden_3.71,0.5576617826617826
linear SVM,clustering_leiden_3.97,0.5481985506753309
linear SVM,clustering_leiden_4.23,0.47871701312103787
linear SVM,clustering_leiden_4.48,0.5273615943625104
linear SVM,clustering_leiden_4.74,0.6054221786070383
linear SVM,clustering_leiden_5.00,0.5179487786105433
Nearest Neighbors,pca,0.5524644511304526
Nearest Neighbors,clustering_leiden_0.10,0.4801331234835071
Nearest Neighbors,clustering_leiden_0.36,0.5330163057561189
Nearest Neighbors,clustering_leiden_0.62,0.5511260185892539
Nearest Neighbors,clustering_leiden_0.87,0.5845415475574394
Nearest Neighbors,clustering_leiden_1.13,0.5746579623832174
Nearest Neighbors,clustering_leiden_1.39,0.5880800641399019
Nearest Neighbors,clustering_leiden_1.65,0.650646900303763
Nearest Neighbors,clustering_leiden_1.91,0.5975268064214934
Nearest Neighbors,clustering_leiden_2.16,0.5812500554115622
Nearest Neighbors,clustering_leiden_2.42,0.6047318115868168
Nearest Neighbors,clustering_leiden_2.68,0.5333196148509947
Nearest Neighbors,clustering_leiden_2.94,0.5858341933264534
Nearest Neighbors,clustering_leiden_3.19,0.5055896933347913
Nearest Neighbors,clustering_leiden_3.45,0.5597879417135182
Nearest Neighbors,clustering_leiden_3.71,0.5511408857236456
Nearest Neighbors,clustering_leiden_3.97,0.544050824830876
Nearest Neighbors,clustering_leiden_4.23,0.5563970526318397
Nearest Neighbors,clustering_leiden_4.48,0.6195561578958163
Nearest Neighbors,clustering_leiden_4.74,0.5751956668186055
Nearest Neighbors,clustering_leiden_5.00,0.6125959208776547
RBF SVM,pca,0.43733395718935214
RBF SVM,clustering_leiden_0.10,0.7073776985541691
RBF SVM,clustering_leiden_0.36,0.5175991970732504
RBF SVM,clustering_leiden_0.62,0.576978448485028
RBF SVM,clustering_leiden_0.87,0.6107545402877884
RBF SVM,clustering_leiden_1.13,0.5834100362553049
RBF SVM,clustering_leiden_1.39,0.650454623878537
RBF SVM,clustering_leiden_1.65,0.6856552474711043
