Classifier,Profile,F1 Score
linear SVM,pca,1.0
linear SVM,clustering_leiden_0.10,0.4369134604428722
linear SVM,clustering_leiden_0.36,0.8335053040168129
linear SVM,clustering_leiden_0.62,0.9714285714285714
linear SVM,clustering_leiden_0.87,0.9930434782608696
linear SVM,clustering_leiden_1.13,1.0
linear SVM,clustering_leiden_1.39,0.9930434782608696
linear SVM,clustering_leiden_1.65,0.9930434782608696
linear SVM,clustering_leiden_1.91,0.9930434782608696
linear SVM,clustering_leiden_2.16,0.9930434782608696
linear SVM,clustering_leiden_2.42,0.9790574642748555
linear SVM,clustering_leiden_2.68,0.9860139860139859
linear SVM,clustering_leiden_2.94,0.9714285714285715
linear SVM,clustering_leiden_3.19,0.9790574642748555
linear SVM,clustering_leiden_3.45,0.9790574642748555
linear SVM,clustering_leiden_3.71,0.9485990338164251
linear SVM,clustering_leiden_3.97,0.9485990338164251
linear SVM,clustering_leiden_4.23,0.9790574642748555
linear SVM,clustering_leiden_4.48,1.0
linear SVM,clustering_leiden_4.74,0.9485990338164251
linear SVM,clustering_leiden_5.00,0.9790574642748555
Nearest Neighbors,pca,1.0
Nearest Neighbors,clustering_leiden_0.10,0.601682019512075
Nearest Neighbors,clustering_leiden_0.36,0.8881848586196414
Nearest Neighbors,clustering_leiden_0.62,0.9718794570968484
Nearest Neighbors,clustering_leiden_0.87,0.9790574642748555
Nearest Neighbors,clustering_leiden_1.13,0.986086956521739
Nearest Neighbors,clustering_leiden_1.39,0.9930434782608696
Nearest Neighbors,clustering_leiden_1.65,0.9721009425357252
Nearest Neighbors,clustering_leiden_1.91,0.9581390831390831
Nearest Neighbors,clustering_leiden_2.16,0.9790574642748556
Nearest Neighbors,clustering_leiden_2.42,0.9648499648499649
Nearest Neighbors,clustering_leiden_2.68,0.9425383381826213
Nearest Neighbors,clustering_leiden_2.94,0.9644720496894409
Nearest Neighbors,clustering_leiden_3.19,0.9468690702087287
Nearest Neighbors,clustering_leiden_3.45,0.9415695415695415
Nearest Neighbors,clustering_leiden_3.71,0.9555555555555556
Nearest Neighbors,clustering_leiden_3.97,0.9637023593466424
Nearest Neighbors,clustering_leiden_4.23,0.9555555555555556
Nearest Neighbors,clustering_leiden_4.48,0.9468690702087287
Nearest Neighbors,clustering_leiden_4.74,0.9328830562227147
Nearest Neighbors,clustering_leiden_5.00,0.9375
RBF SVM,pca,1.0
RBF SVM,clustering_leiden_0.10,0.6268861385528052
RBF SVM,clustering_leiden_0.36,0.9086209563383476
RBF SVM,clustering_leiden_0.62,0.956745837607512
RBF SVM,clustering_leiden_0.87,0.9930434782608696
RBF SVM,clustering_leiden_1.13,0.9930434782608696
RBF SVM,clustering_leiden_1.39,0.9860139860139862
RBF SVM,clustering_leiden_1.65,0.9790574642748556
RBF SVM,clustering_leiden_1.91,0.9860139860139862
RBF SVM,clustering_leiden_2.16,0.9930434782608696
RBF SVM,clustering_leiden_2.42,0.9790574642748556
RBF SVM,clustering_leiden_2.68,0.9720279720279721
RBF SVM,clustering_leiden_2.94,0.9790574642748556
RBF SVM,clustering_leiden_3.19,0.9860139860139862
RBF SVM,clustering_leiden_3.45,0.9644720496894409
RBF SVM,clustering_leiden_3.71,0.9714285714285714
RBF SVM,clustering_leiden_3.97,0.9930434782608696
RBF SVM,clustering_leiden_4.23,0.9860139860139862
RBF SVM,clustering_leiden_4.48,0.978835978835979
RBF SVM,clustering_leiden_4.74,0.9718794570968484
RBF SVM,clustering_leiden_5.00,0.9930434782608696
LDA,pca,0.986086956521739
LDA,clustering_leiden_0.10,0.6023096993940984
