Classifier,F1 Score clusters (max),F1 Score clusters (mean),F1 Score clusters (std),F1 Score (pca),dataset
LDA,0.972585273,0.874558502,0.04432543,0.986086957,IF_deep
Naive Bayes,0.935581816,0.873887181,0.031595103,0.993043478,IF_deep
Nearest Neighbors,0.979057464,0.934973653,0.031232241,1,IF_deep
RBF SVM,0.979057464,0.929556029,0.03185859,1,IF_deep
linear SVM,0.972100943,0.900083973,0.027431652,1,IF_deep
LDA,0.774417249,0.661170169,0.069571375,0.836178636,IF_HC
Naive Bayes,0.75561491,0.671868976,0.077582496,0.857906092,IF_HC
Nearest Neighbors,0.800664456,0.643241839,0.087070038,0.789215208,IF_HC
RBF SVM,0.757438803,0.653980509,0.083621428,0.885959402,IF_HC
linear SVM,0.796356518,0.691528176,0.086014777,0.880630943,IF_HC
LDA,0.930142901,0.86305291,0.037060388,0.908527994,CP_deep
Naive Bayes,0.915336001,0.854463303,0.036573612,0.936670117,CP_deep
Nearest Neighbors,0.927404719,0.864710388,0.041572844,0.92961647,CP_deep
RBF SVM,0.929640625,0.886461473,0.029551629,0.922514008,CP_deep
linear SVM,0.874523878,0.822736401,0.0341245,0.893404784,CP_deep
LDA,0.642781214,0.559617443,0.061513427,0.678950778,CP_Cellprofiler
Naive Bayes,0.619487515,0.492440422,0.075017243,0.679266762,CP_Cellprofiler
Nearest Neighbors,0.624573997,0.503127354,0.048353961,0.719395466,CP_Cellprofiler
RBF SVM,0.651243126,0.548426876,0.054253486,0.772644776,CP_Cellprofiler
linear SVM,0.609723379,0.515844323,0.059571202,0.651143609,CP_Cellprofiler
LDA,0.561936822,0.490162526,0.052831332,0.500878241,BF_deep
Naive Bayes,0.555939755,0.482944658,0.045833594,0.491479428,BF_deep
Nearest Neighbors,0.572033617,0.506167226,0.035350742,0.552464451,BF_deep
RBF SVM,0.616538502,0.527367316,0.040906572,0.437333957,BF_deep
linear SVM,0.55944632,0.497795056,0.028595128,0.502709912,BF_deep
