param_n_components,param_tol,mean_test_bic,mean_test_aic,mean_test_sillhoute
2,0.001,5.58714583943077,5.5861604008572785,0.15923486649990082
2,0.01,5.587399411253409,5.586414548533381,0.1588959594567617
2,0.1,5.589030403822482,5.58804923699048,0.16331998507181802
3,0.001,5.584887295435408,5.583396783530126,0.1520110567410787
3,0.01,5.584943130846913,5.583452810887298,0.15351600448290506
3,0.1,5.585036724967335,5.583546726701149,0.15591981013615927
4,0.001,5.583006926904771,5.58100725036292,0.146379421154658
4,0.01,5.583238733587616,5.581240126556584,0.15075217187404633
4,0.1,5.583535846859862,5.581538609813178,0.1552831083536148
5,0.001,5.582961216033636,5.580458006748248,0.10890248169501622
5,0.01,5.583293626797228,5.580792338271289,0.12275595714648564
5,0.1,5.583655114005096,5.581155912572549,0.12975658476352692
6,0.001,5.582914254409941,5.579906813037627,0.10877459247907002
6,0.01,5.583209702876118,5.580204313849168,0.11542870849370956
6,0.1,5.5835910451070205,5.580588303012583,0.12261225283145905
7,0.001,5.583129168700513,5.579618925783455,0.09987106422583263
7,0.01,5.583800893500732,5.580296097641731,0.10435085992018382
7,0.1,5.584196401314807,5.580694808682831,0.11303268373012543
8,0.001,5.583121302710959,5.579106105880035,0.09765651325384776
8,0.01,5.5832995682516176,5.579286026844198,0.10840429117282231
8,0.1,5.583676715047596,5.579666673670972,0.11685006817181905
9,0.001,5.583377522605012,5.578859528236099,0.09380128731330235
9,0.01,5.583574193716543,5.579058255539046,0.10571395109097163
9,0.1,5.584004064242057,5.579492617075443,0.11533034841219585
10,0.001,5.583872874604546,5.57885487526801,0.09083885451157887
10,0.01,5.584111965095963,5.579096743547314,0.10443446040153503
10,0.1,5.584425135425783,5.579413549995827,0.11254341900348663
11,0.001,5.58424605079659,5.578727055718671,0.0873892530798912
11,0.01,5.584565814486126,5.579050907356045,0.10084344695011775
11,0.1,5.5848733072057675,5.579362328273956,0.10892422993977864
12,0.001,5.584672588226411,5.578653629369364,0.08393183598915736
12,0.01,5.585049743932828,5.579036046211519,0.09881272415320079
12,0.1,5.585379729587106,5.579370631204358,0.10648163159688313
13,0.001,5.585193161260415,5.578676072954311,0.07690139611562093
13,0.01,5.585604807454698,5.57909393996094,0.09485521912574768
13,0.1,5.585935545631073,5.579429671930109,0.10238091150919597
14,0.001,5.585517540932452,5.57849976009538,0.07021971046924591
14,0.01,5.585996987249127,5.578987012357071,0.09134967625141144
14,0.1,5.586315028055227,5.579310226408822,0.10014428695042928
15,0.001,5.585923548155305,5.578406674772559,0.06696235140164693
15,0.01,5.586581138072668,5.579075736644993,0.0880574236313502
15,0.1,5.586903673945429,5.579403892845935,0.09762950489918391
16,0.001,5.586801376068481,5.578794560659089,0.0669293353954951
16,0.01,5.587113246319521,5.579112231874353,0.08675884952147801
16,0.1,5.587413229992355,5.579417791412043,0.0958209087451299
17,0.001,5.587098634816228,5.578591860762795,0.057376826802889504
17,0.01,5.587590850619169,5.579093807297905,0.08202064037322998
17,0.1,5.587979260063413,5.579489887366688,0.0935295969247818
18,0.001,5.587554516832571,5.578551220406463,0.05733130251367887
18,0.01,5.588173076513219,5.579182727784903,0.08091738571723302
18,0.1,5.588523732919846,5.579540715777836,0.09300400813420613
19,0.001,5.588274921599708,5.57878143544359,0.05974240849415461
19,0.01,5.5885955072194715,5.579109103407292,0.0781567171216011
19,0.1,5.588993415720081,5.579515795031991,0.0908645714322726
20,0.001,5.588743213738723,5.578754772797306,0.05214347938696543
20,0.01,5.58927123167265,5.5792950678297215,0.07854281614224116
20,0.1,5.589630155843448,5.579662328735192,0.09086963534355164
21,0.001,5.589448804069027,5.578971719340274,0.05501831943790118
21,0.01,5.589925758472244,5.5794603133367895,0.07835808893044789
21,0.1,5.590208284583286,5.579749728040677,0.0896506334344546
22,0.001,5.589920274902956,5.57894962409787,0.049043758461872734
22,0.01,5.590473670039663,5.579517167283364,0.07463182012240092
22,0.1,5.590815844785115,5.5798680807909244,0.0869131088256836
23,0.001,5.590495546643167,5.579034629671159,0.0481082908809185
23,0.01,5.590967747530569,5.5795194506506895,0.07298176487286885
23,0.1,5.59135870388433,5.579920845090857,0.08623382945855458
24,0.001,5.591231479059336,5.579285542930744,0.05428900197148323
24,0.01,5.591561132591004,5.579624386363942,0.0754325141509374
24,0.1,5.591900532046036,5.579973239923896,0.0877008189757665
25,0.001,5.59172432091676,5.579287441880817,0.04812772820393244
25,0.01,5.591972437857209,5.579542764736348,0.06928498297929764
25,0.1,5.592354313693419,5.579935722894666,0.0827697142958641
