param_n_components,param_tol,mean_test_bic,mean_test_aic,mean_test_sillhoute
2,0.001,5.40677936567042,5.405273715121322,0.1398548980553945
2,0.01,5.406820412397659,5.40531490439319,0.138034055630366
2,0.1,5.424265353504661,5.422819219769177,0.12901121377944946
3,0.001,5.4035273984187375,5.401244116077652,0.11409398168325424
3,0.01,5.403920351484873,5.401639139574172,0.11276497443517049
3,0.1,5.405818228314666,5.403546989657709,0.09963141630093257
4,0.001,5.401398783371173,5.398332807729544,0.09246450165907542
4,0.01,5.40294196626688,5.3998869039947595,0.10927076637744904
4,0.1,5.404341453679042,5.401296254853376,0.10335048288106918
5,0.001,5.400921837336251,5.397078807042523,0.04786083350578944
5,0.01,5.402099346640908,5.398266767950757,0.06724914535880089
5,0.1,5.403572780773577,5.399753240119137,0.0767971749107043
6,0.001,5.400670156390332,5.39604938026213,0.038008960584799446
6,0.01,5.401832595962017,5.397224237104264,0.0334494753430287
6,0.1,5.403998022466217,5.399412705485786,0.04414104794462522
7,0.001,5.400861661148955,5.395466383995125,0.03612769146760305
7,0.01,5.40226101008093,5.39688319708628,0.032304451490441956
7,0.1,5.4043069119585745,5.3989545299149855,0.033930460611979164
8,0.001,5.400679408317852,5.394503581484238,0.03197621367871761
8,0.01,5.401476229965947,5.395311804565489,0.03131256625056267
8,0.1,5.4035315571141105,5.397396442886279,0.04206478036940098
9,0.001,5.401399361529424,5.394455480112739,0.02280814681823055
9,0.01,5.402152990731833,5.395221245143958,0.03729828198750814
9,0.1,5.403095562371339,5.396178965100285,0.047193960597117744
10,0.001,5.401675130230443,5.393956440885775,0.024500590181560256
10,0.01,5.402146419042315,5.3944361760966855,0.03402008178333441
10,0.1,5.403385879581029,5.39569780566143,0.04550842506190141
11,0.001,5.402004595456991,5.393511763003548,0.017544317136829097
11,0.01,5.40254477915479,5.39406260744893,0.02207715002199014
11,0.1,5.404765600629559,5.396327115962063,0.04143780345718066
12,0.001,5.402977290744677,5.393723977081207,0.01562734382847945
12,0.01,5.403362510647645,5.394117488994229,0.02695941583563884
12,0.1,5.405246675208521,5.39604210287247,0.03827291168272495
13,0.001,5.403445103970257,5.393421648725797,0.016916549143691856
13,0.01,5.404219790099575,5.394214405929351,0.029552899301052094
13,0.1,5.406449761078929,5.396496211602697,0.036780186307926975
14,0.001,5.4041782888673895,5.393391673163959,0.016338336902360123
14,0.01,5.405092490462409,5.394328840414003,0.02041866909712553
14,0.1,5.40706310984944,5.396348795506682,0.02454689455529054
15,0.001,5.404912650048111,5.393364172506886,0.010516888267981509
15,0.01,5.405493831264932,5.393961004671513,0.017398984792331856
15,0.1,5.407293111146978,5.395808602209883,0.0317469152311484
16,0.001,5.405582029505535,5.393271095431804,0.0022456556713829436
16,0.01,5.406301863709026,5.394011609084801,0.009692772602041563
16,0.1,5.4079303009519615,5.395686698290922,0.026597898453474045
17,0.001,5.406473344446275,5.393407775566927,-0.00036491228577991325
17,0.01,5.407041629795805,5.393993405618784,0.00932950588564078
17,0.1,5.408503011337349,5.395499282899769,0.024356623801092308
18,0.001,5.407374361058498,5.393556312562206,-0.0028485197884341082
18,0.01,5.407810207243664,5.394006241840359,0.005833811902751525
18,0.1,5.409638519024388,5.395893471455851,0.019113699595133465
19,0.001,5.408042103180606,5.39346549309588,-0.011326632462441921
19,0.01,5.408587598597164,5.394029596096881,-0.0026657433481886983
19,0.1,5.4100827125717865,5.395575586701024,0.012783912010490894
20,0.001,5.408884589327645,5.393556739393137,-0.007593488010267417
20,0.01,5.40940956893405,5.394100566507691,-0.0005039619087862471
20,0.1,5.411601454031042,5.396370888907213,0.019097457251821954
21,0.001,5.40954944674675,5.393465330082826,-0.014138543667892614
21,0.01,5.410294775746493,5.3942387548656585,0.0038916644795487323
21,0.1,5.411634085627872,5.395628425563906,0.024571239948272705
22,0.001,5.410790608758212,5.393974031380296,-0.01171565925081571
22,0.01,5.411163027586436,5.394361147144539,0.0026334336337943873
22,0.1,5.412438274644549,5.395686620753157,0.02243505356212457
23,0.001,5.411636030564308,5.394073756699295,-0.013584376002351442
23,0.01,5.4119624100522135,5.394413599753311,0.0025456376218547425
23,0.1,5.41323680485496,5.395740464189939,0.023613649730881054
24,0.001,5.41252392920169,5.39421947787176,-0.012626843682179848
24,0.01,5.412900043221405,5.394611775678758,0.0018913312039027612
24,0.1,5.414412429504058,5.396189090969466,0.021678137282530468
25,0.001,5.4133635507139735,5.394316601531687,-0.018858707199494045
25,0.01,5.4138112233100255,5.3947843339026305,-0.0021173148221957185
25,0.1,5.415237536058452,5.3962744144722,0.019561450307567913
