Treatment,membership,count
LPS/Nigericin,-1,418
LPS/Nigericin,1,120
LPS/Nigericin,10,104
LPS/Nigericin,11,160
LPS/Nigericin,12,28
LPS/Nigericin,13,27
LPS/Nigericin,14,23
LPS/Nigericin,15,33
LPS/Nigericin,16,45
LPS/Nigericin,2,147
LPS/Nigericin,3,165
LPS/Nigericin,4,118
LPS/Nigericin,5,213
LPS/Nigericin,6,54
LPS/Nigericin,7,23
LPS/Nigericin,8,55
LPS/Nigericin,9,21
LPS/Unactivated,-1,549
LPS/Unactivated,1,16
LPS/Unactivated,10,41
LPS/Unactivated,11,75
LPS/Unactivated,12,188
LPS/Unactivated,13,72
LPS/Unactivated,14,257
LPS/Unactivated,15,153
LPS/Unactivated,16,268
LPS/Unactivated,2,32
LPS/Unactivated,3,2
LPS/Unactivated,4,54
LPS/Unactivated,5,1
LPS/Unactivated,6,97
LPS/Unactivated,7,76
LPS/Unactivated,8,57
LPS/Unactivated,9,150
Unprimed/Nigericin,-1,394
Unprimed/Nigericin,1,125
Unprimed/Nigericin,10,167
Unprimed/Nigericin,11,147
Unprimed/Nigericin,12,43
Unprimed/Nigericin,13,22
Unprimed/Nigericin,14,33
Unprimed/Nigericin,15,41
Unprimed/Nigericin,16,42
Unprimed/Nigericin,2,111
Unprimed/Nigericin,3,63
Unprimed/Nigericin,4,114
Unprimed/Nigericin,5,108
Unprimed/Nigericin,6,91
Unprimed/Nigericin,7,53
Unprimed/Nigericin,8,93
Unprimed/Nigericin,9,31
Unprimed/Unactivated,-1,519
Unprimed/Unactivated,1,35
Unprimed/Unactivated,10,39
Unprimed/Unactivated,11,65
Unprimed/Unactivated,12,151
Unprimed/Unactivated,13,55
Unprimed/Unactivated,14,211
Unprimed/Unactivated,15,119
Unprimed/Unactivated,16,109
Unprimed/Unactivated,2,32
Unprimed/Unactivated,3,4
Unprimed/Unactivated,4,78
Unprimed/Unactivated,6,82
Unprimed/Unactivated,7,213
Unprimed/Unactivated,8,94
Unprimed/Unactivated,9,134
